Iteration,Algorithm,Time,CPUTime,Expanded,Found,Steps,Directions,InitialBoard,Solvable,ProfundidadeMaximaDFS,QtdMovimentos,Seed,Inversoes,LinhaVazio,MemMBInicio,MemMBFim,PID
1,BFS,0.015787124633789062,0.009462541,2845,True,9,"['baixo', 'esquerda', 'cima', 'esquerda', 'baixo', 'baixo', 'baixo', 'direita', 'direita', 'direita']","[[2, 6, 0, 4], [1, 7, 3, 8], [5, 10, 11, 12], [9, 13, 14, 15]]",True,,10,9664387,13,4,72.625,75.671875,56171
1,DFS,5.628232955932617,5.567786791,3102031,False,0,[],"[[2, 6, 0, 4], [1, 7, 3, 8], [5, 10, 11, 12], [9, 13, 14, 15]]",True,30,10,9664387,13,4,73.875,527.046875,56171
1,A*,0.00013518333435058594,0.000135083,11,True,9,"['baixo', 'esquerda', 'cima', 'esquerda', 'baixo', 'baixo', 'baixo', 'direita', 'direita', 'direita']","[[2, 6, 0, 4], [1, 7, 3, 8], [5, 10, 11, 12], [9, 13, 14, 15]]",True,,10,9664387,13,4,75.65625,75.65625,56171
2,BFS,0.01643085479736328,0.016331833,3719,True,9,"['esquerda', 'baixo', 'baixo', 'esquerda', 'baixo', 'direita', 'direita', 'cima', 'direita', 'baixo']","[[1, 3, 0, 4], [5, 2, 7, 8], [10, 6, 15, 11], [9, 13, 14, 12]]",True,,10,3754316,15,4,530.5,369.328125,56171
2,DFS,5.499115943908691,5.490924708,3102031,False,0,[],"[[1, 3, 0, 4], [5, 2, 7, 8], [10, 6, 15, 11], [9, 13, 14, 12]]",True,30,10,3754316,15,4,368.0625,637.484375,56171
2,A*,0.00017690658569335938,0.000178,11,True,9,"['esquerda', 'baixo', 'baixo', 'esquerda', 'baixo', 'direita', 'direita', 'cima', 'direita', 'baixo']","[[1, 3, 0, 4], [5, 2, 7, 8], [10, 6, 15, 11], [9, 13, 14, 12]]",True,,10,3754316,15,4,368.171875,368.265625,56171
3,BFS,0.005590200424194336,0.0055901250000000005,1259,True,7,"['esquerda', 'baixo', 'direita', 'direita', 'cima', 'esquerda', 'baixo', 'direita']","[[1, 2, 3, 4], [5, 6, 7, 8], [9, 12, 0, 15], [13, 10, 14, 11]]",True,,10,75879253,9,2,637.296875,591.65625,56171
3,DFS,0.19668817520141602,0.196241375,121302,True,29,"['direita', 'baixo', 'esquerda', 'esquerda', 'esquerda', 'cima', 'direita', 'direita', 'direita', 'baixo', 'esquerda', 'cima', 'esquerda', 'esquerda', 'baixo', 'direita', 'direita', 'direita', 'cima', 'esquerda', 'esquerda', 'baixo', 'direita', 'direita', 'cima', 'esquerda', 'esquerda', 'baixo', 'direita', 'direita']","[[1, 2, 3, 4], [5, 6, 7, 8], [9, 12, 0, 15], [13, 10, 14, 11]]",True,30,10,75879253,9,2,590.40625,429.53125,56171
3,A*,0.00017404556274414062,0.000175125,11,True,7,"['esquerda', 'baixo', 'direita', 'direita', 'cima', 'esquerda', 'baixo', 'direita']","[[1, 2, 3, 4], [5, 6, 7, 8], [9, 12, 0, 15], [13, 10, 14, 11]]",True,,10,75879253,9,2,590.453125,590.484375,56171
4,BFS,0.011225700378417969,0.01112025,2778,True,9,"['cima', 'esquerda', 'esquerda', 'esquerda', 'baixo', 'direita', 'baixo', 'baixo', 'direita', 'direita']","[[2, 3, 4, 8], [1, 5, 7, 0], [9, 6, 11, 12], [13, 10, 14, 15]]",True,,10,46733443,12,3,428.609375,377.890625,56171
4,DFS,7.374399900436401,7.225162375,3934833,False,0,[],"[[2, 3, 4, 8], [1, 5, 7, 0], [9, 6, 11, 12], [13, 10, 14, 15]]",True,30,10,46733443,12,3,376.875,624.9375,56171
4,A*,0.00014019012451171875,0.000139458,11,True,9,"['cima', 'esquerda', 'esquerda', 'esquerda', 'baixo', 'direita', 'baixo', 'baixo', 'direita', 'direita']","[[2, 3, 4, 8], [1, 5, 7, 0], [9, 6, 11, 12], [13, 10, 14, 15]]",True,,10,46733443,12,3,377.03125,377.03125,56171
5,BFS,0.016722917556762695,0.011198333000000001,2280,True,9,"['baixo', 'direita', 'cima', 'direita', 'baixo', 'esquerda', 'baixo', 'baixo', 'direita', 'direita']","[[0, 7, 2, 4], [1, 5, 3, 8], [9, 6, 11, 12], [13, 10, 14, 15]]",True,,10,62932395,15,4,624.96875,492.28125,56171
5,DFS,6.158874034881592,6.1265628329999995,3496037,True,29,"['direita', 'direita', 'baixo', 'baixo', 'direita', 'cima', 'esquerda', 'cima', 'esquerda', 'esquerda', 'baixo', 'direita', 'direita', 'baixo', 'direita', 'cima', 'esquerda', 'esquerda', 'cima', 'direita', 'baixo', 'baixo', 'direita', 'cima', 'esquerda', 'esquerda', 'baixo', 'baixo', 'direita', 'direita']","[[0, 7, 2, 4], [1, 5, 3, 8], [9, 6, 11, 12], [13, 10, 14, 15]]",True,30,10,62932395,15,4,625.15625,616.90625,56171
5,A*,0.00020194053649902344,0.0002025,15,True,9,"['baixo', 'direita', 'cima', 'direita', 'baixo', 'esquerda', 'baixo', 'baixo', 'direita', 'direita']","[[0, 7, 2, 4], [1, 5, 3, 8], [9, 6, 11, 12], [13, 10, 14, 15]]",True,,10,62932395,15,4,490.78125,490.78125,56171

