Iteration,Algorithm,Time,CPUTime,Expanded,Found,Steps,Directions,InitialBoard,Solvable,ProfundidadeMaximaDFS,QtdMovimentos,Seed,Inversoes,LinhaVazio,MemMBInicio,MemMBFim,PID
1,BFS,0.01672196388244629,0.011540333,3336,True,9,"['baixo', 'esquerda', 'baixo', 'esquerda', 'esquerda', 'cima', 'direita', 'direita', 'baixo', 'direita']","[[1, 2, 3, 4], [5, 6, 7, 0], [13, 9, 12, 8], [14, 11, 10, 15]]",True,,10,32458312,12,3,72.96875,76.171875,56202
1,DFS,144.86641597747803,130.67348262500002,25347071,True,39,"['esquerda', 'esquerda', 'esquerda', 'cima', 'direita', 'baixo', 'direita', 'direita', 'baixo', 'esquerda', 'esquerda', 'esquerda', 'cima', 'direita', 'baixo', 'baixo', 'direita', 'cima', 'esquerda', 'cima', 'esquerda', 'baixo', 'direita', 'cima', 'cima', 'esquerda', 'baixo', 'direita', 'baixo', 'baixo', 'direita', 'cima', 'esquerda', 'baixo', 'esquerda', 'cima', 'direita', 'direita', 'baixo', 'direita']","[[1, 2, 3, 4], [5, 6, 7, 0], [13, 9, 12, 8], [14, 11, 10, 15]]",True,40,10,32458312,12,3,74.203125,422.53125,56202
1,A*,0.00016880035400390625,0.00016925,12,True,9,"['baixo', 'esquerda', 'baixo', 'esquerda', 'esquerda', 'cima', 'direita', 'direita', 'baixo', 'direita']","[[1, 2, 3, 4], [5, 6, 7, 0], [13, 9, 12, 8], [14, 11, 10, 15]]",True,,10,32458312,12,3,76.65625,76.671875,56202
2,BFS,0.042829036712646484,0.036002584000000004,2781,True,9,"['cima', 'direita', 'baixo', 'esquerda', 'cima', 'direita', 'direita', 'baixo', 'direita', 'baixo']","[[1, 2, 3, 4], [10, 9, 6, 8], [0, 5, 7, 11], [13, 14, 15, 12]]",True,,10,69408690,15,2,424.671875,248.84375,56202
2,DFS,9.516197919845581,9.485588584,5138488,True,37,"['direita', 'direita', 'direita', 'baixo', 'esquerda', 'esquerda', 'esquerda', 'cima', 'direita', 'direita', 'cima', 'esquerda', 'esquerda', 'cima', 'direita', 'baixo', 'direita', 'baixo', 'esquerda', 'esquerda', 'baixo', 'direita', 'direita', 'direita', 'cima', 'esquerda', 'esquerda', 'cima', 'cima', 'esquerda', 'baixo', 'baixo', 'direita', 'cima', 'direita', 'baixo', 'direita', 'baixo']","[[1, 2, 3, 4], [10, 9, 6, 8], [0, 5, 7, 11], [13, 14, 15, 12]]",True,40,10,69408690,15,2,465.859375,693.984375,56202
2,A*,0.0003447532653808594,0.0003455,24,True,9,"['cima', 'direita', 'baixo', 'esquerda', 'cima', 'direita', 'direita', 'baixo', 'direita', 'baixo']","[[1, 2, 3, 4], [10, 9, 6, 8], [0, 5, 7, 11], [13, 14, 15, 12]]",True,,10,69408690,15,2,248.828125,248.859375,56202
