Iteration,Algorithm,Time,CPUTime,Expanded,Found,Steps,Directions,InitialBoard,Solvable,ProfundidadeMaximaDFS,QtdMovimentos,Seed,Inversoes,LinhaVazio,MemMBInicio,MemMBFim,PID
1,BFS,0.01961803436279297,0.01510125,4615,True,9,"['esquerda', 'cima', 'cima', 'esquerda', 'baixo', 'baixo', 'direita', 'direita', 'baixo', 'direita']","[[2, 6, 3, 4], [1, 9, 7, 8], [5, 10, 0, 12], [13, 14, 11, 15]]",True,,10,36366969,15,2,72.453125,75.96875,56094
1,DFS,0.004414796829223633,0.004407625,2732,True,9,"['esquerda', 'cima', 'cima', 'esquerda', 'baixo', 'baixo', 'direita', 'direita', 'baixo', 'direita']","[[2, 6, 3, 4], [1, 9, 7, 8], [5, 10, 0, 12], [13, 14, 11, 15]]",True,10,10,36366969,15,2,75.3125,75.796875,56094
1,A*,0.0002231597900390625,0.00022270799999999998,17,True,9,"['esquerda', 'cima', 'cima', 'esquerda', 'baixo', 'baixo', 'direita', 'direita', 'baixo', 'direita']","[[2, 6, 3, 4], [1, 9, 7, 8], [5, 10, 0, 12], [13, 14, 11, 15]]",True,,10,36366969,15,2,75.96875,75.96875,56094
2,BFS,0.013427019119262695,0.013101375,4209,True,9,"['baixo', 'esquerda', 'cima', 'esquerda', 'baixo', 'direita', 'direita', 'cima', 'direita', 'baixo']","[[1, 2, 3, 4], [5, 6, 7, 8], [10, 13, 0, 11], [9, 14, 15, 12]]",True,,10,67688871,7,2,75.96875,76.03125,56094
2,DFS,0.00024175643920898438,0.000242,108,True,9,"['direita', 'baixo', 'esquerda', 'esquerda', 'cima', 'esquerda', 'baixo', 'direita', 'direita', 'direita']","[[1, 2, 3, 4], [5, 6, 7, 8], [10, 13, 0, 11], [9, 14, 15, 12]]",True,10,10,67688871,7,2,76.03125,76.03125,56094
2,A*,0.0004322528839111328,0.0004315,36,True,9,"['baixo', 'esquerda', 'cima', 'esquerda', 'baixo', 'direita', 'direita', 'cima', 'direita', 'baixo']","[[1, 2, 3, 4], [5, 6, 7, 8], [10, 13, 0, 11], [9, 14, 15, 12]]",True,,10,67688871,7,2,76.03125,76.03125,56094
3,BFS,0.007972240447998047,0.007910792,2507,True,9,"['cima', 'cima', 'direita', 'direita', 'baixo', 'esquerda', 'baixo', 'direita', 'direita', 'baixo']","[[5, 1, 2, 4], [9, 7, 3, 8], [0, 6, 10, 11], [13, 14, 15, 12]]",True,,10,56002099,15,2,76.03125,76.109375,56094
3,DFS,0.0026941299438476562,0.002694334,1971,True,9,"['cima', 'cima', 'direita', 'direita', 'baixo', 'esquerda', 'baixo', 'direita', 'direita', 'baixo']","[[5, 1, 2, 4], [9, 7, 3, 8], [0, 6, 10, 11], [13, 14, 15, 12]]",True,10,10,56002099,15,2,76.09375,76.09375,56094
3,A*,0.00014472007751464844,0.000145083,11,True,9,"['cima', 'cima', 'direita', 'direita', 'baixo', 'esquerda', 'baixo', 'direita', 'direita', 'baixo']","[[5, 1, 2, 4], [9, 7, 3, 8], [0, 6, 10, 11], [13, 14, 15, 12]]",True,,10,56002099,15,2,76.09375,76.09375,56094
4,BFS,0.02884817123413086,0.026479332999999997,5414,True,9,"['direita', 'baixo', 'baixo', 'esquerda', 'cima', 'cima', 'direita', 'direita', 'baixo', 'baixo']","[[1, 2, 3, 4], [5, 0, 10, 7], [9, 14, 6, 8], [13, 15, 11, 12]]",True,,10,3371572,16,3,76.09375,77.15625,56094
4,DFS,0.001970052719116211,0.0019695,1265,True,9,"['direita', 'baixo', 'baixo', 'esquerda', 'cima', 'cima', 'direita', 'direita', 'baixo', 'baixo']","[[1, 2, 3, 4], [5, 0, 10, 7], [9, 14, 6, 8], [13, 15, 11, 12]]",True,10,10,3371572,16,3,76.234375,76.359375,56094
4,A*,0.00019693374633789062,0.00019758299999999998,14,True,9,"['direita', 'baixo', 'baixo', 'esquerda', 'cima', 'cima', 'direita', 'direita', 'baixo', 'baixo']","[[1, 2, 3, 4], [5, 0, 10, 7], [9, 14, 6, 8], [13, 15, 11, 12]]",True,,10,3371572,16,3,77.140625,77.140625,56094
5,BFS,0.008572816848754883,0.008538958000000001,2699,True,9,"['baixo', 'baixo', 'esquerda', 'esquerda', 'baixo', 'direita', 'cima', 'direita', 'direita', 'baixo']","[[1, 2, 0, 4], [5, 6, 3, 8], [14, 10, 7, 11], [9, 13, 15, 12]]",True,,10,12010803,15,4,77.15625,77.171875,56094
5,DFS,0.00360107421875,0.0036009170000000004,2618,True,9,"['baixo', 'baixo', 'esquerda', 'esquerda', 'baixo', 'direita', 'cima', 'direita', 'direita', 'baixo']","[[1, 2, 0, 4], [5, 6, 3, 8], [14, 10, 7, 11], [9, 13, 15, 12]]",True,10,10,12010803,15,4,77.15625,77.15625,56094
5,A*,0.00025272369384765625,0.00025329199999999996,20,True,9,"['baixo', 'baixo', 'esquerda', 'esquerda', 'baixo', 'direita', 'cima', 'direita', 'direita', 'baixo']","[[1, 2, 0, 4], [5, 6, 3, 8], [14, 10, 7, 11], [9, 13, 15, 12]]",True,,10,12010803,15,4,77.15625,77.15625,56094
