Iteration,Algorithm,Time,CPUTime,Expanded,Found,Steps,Directions,InitialBoard,Solvable,ProfundidadeMaximaDFS,QtdMovimentos,Seed,Inversoes,LinhaVazio,MemMBInicio,MemMBFim,PID
1,BFS,0.01609325408935547,0.016055459,4895,True,9,"['esquerda', 'baixo', 'baixo', 'direita', 'direita', 'direita', 'cima', 'esquerda', 'baixo', 'direita']","[[1, 2, 3, 4], [6, 0, 7, 8], [5, 10, 12, 15], [9, 13, 14, 11]]",True,,10,69269337,12,3,72.734375,76.0625,56136
1,DFS,0.4518120288848877,0.451262708,279040,True,15,"['baixo', 'baixo', 'direita', 'direita', 'cima', 'esquerda', 'baixo', 'esquerda', 'cima', 'cima', 'esquerda', 'baixo', 'baixo', 'direita', 'direita', 'direita']","[[1, 2, 3, 4], [6, 0, 7, 8], [5, 10, 12, 15], [9, 13, 14, 11]]",True,20,10,69269337,12,3,76.046875,135.234375,56136
1,A*,0.00013494491577148438,0.000135125,11,True,9,"['esquerda', 'baixo', 'baixo', 'direita', 'direita', 'direita', 'cima', 'esquerda', 'baixo', 'direita']","[[1, 2, 3, 4], [6, 0, 7, 8], [5, 10, 12, 15], [9, 13, 14, 11]]",True,,10,69269337,12,3,76.09375,76.09375,56136
2,BFS,0.02365589141845703,0.017153167,5323,True,9,"['esquerda', 'esquerda', 'cima', 'cima', 'direita', 'direita', 'baixo', 'baixo', 'direita', 'baixo']","[[5, 1, 2, 4], [9, 6, 3, 8], [10, 7, 0, 11], [13, 14, 15, 12]]",True,,10,45535691,15,2,135.234375,135.015625,56136
2,DFS,0.3606069087982178,0.34899841600000003,213015,True,9,"['esquerda', 'esquerda', 'cima', 'cima', 'direita', 'direita', 'baixo', 'baixo', 'direita', 'baixo']","[[5, 1, 2, 4], [9, 6, 3, 8], [10, 7, 0, 11], [13, 14, 15, 12]]",True,20,10,45535691,15,2,135.25,141.03125,56136
2,A*,0.0001690387725830078,0.000169583,13,True,9,"['esquerda', 'esquerda', 'cima', 'cima', 'direita', 'direita', 'baixo', 'baixo', 'direita', 'baixo']","[[5, 1, 2, 4], [9, 6, 3, 8], [10, 7, 0, 11], [13, 14, 15, 12]]",True,,10,45535691,15,2,135.28125,135.28125,56136
3,BFS,0.009837150573730469,0.009808667,3079,True,9,"['cima', 'cima', 'esquerda', 'baixo', 'esquerda', 'baixo', 'direita', 'baixo', 'direita', 'direita']","[[1, 3, 7, 4], [6, 2, 11, 8], [5, 9, 0, 12], [13, 10, 14, 15]]",True,,10,42900805,15,2,141.03125,139.5625,56136
3,DFS,0.47242307662963867,0.471951041,302383,False,0,[],"[[1, 3, 7, 4], [6, 2, 11, 8], [5, 9, 0, 12], [13, 10, 14, 15]]",True,20,10,42900805,15,2,139.546875,158.171875,56136
3,A*,0.00015783309936523438,0.00015774999999999999,11,True,9,"['cima', 'cima', 'esquerda', 'baixo', 'esquerda', 'baixo', 'direita', 'baixo', 'direita', 'direita']","[[1, 3, 7, 4], [6, 2, 11, 8], [5, 9, 0, 12], [13, 10, 14, 15]]",True,,10,42900805,15,2,139.734375,139.734375,56136
4,BFS,0.036162614822387695,0.029489875,5942,True,9,"['direita', 'baixo', 'esquerda', 'cima', 'esquerda', 'cima', 'direita', 'direita', 'baixo', 'baixo']","[[1, 2, 3, 4], [5, 10, 6, 7], [9, 11, 0, 15], [13, 14, 12, 8]]",True,,10,75099456,15,2,158.171875,157.5,56136
4,DFS,0.06598925590515137,0.0482675,32068,True,17,"['direita', 'baixo', 'esquerda', 'esquerda', 'cima', 'direita', 'baixo', 'esquerda', 'cima', 'direita', 'baixo', 'esquerda', 'cima', 'cima', 'direita', 'direita', 'baixo', 'baixo']","[[1, 2, 3, 4], [5, 10, 6, 7], [9, 11, 0, 15], [13, 14, 12, 8]]",True,20,10,75099456,15,2,158.1875,158.234375,56136
4,A*,0.0002338886260986328,0.00023475,16,True,9,"['direita', 'baixo', 'esquerda', 'cima', 'esquerda', 'cima', 'direita', 'direita', 'baixo', 'baixo']","[[1, 2, 3, 4], [5, 10, 6, 7], [9, 11, 0, 15], [13, 14, 12, 8]]",True,,10,75099456,15,2,158.25,158.25,56136
5,BFS,0.02211904525756836,0.015561125,4777,True,9,"['esquerda', 'cima', 'direita', 'direita', 'direita', 'baixo', 'baixo', 'esquerda', 'baixo', 'direita']","[[5, 1, 2, 3], [6, 0, 7, 4], [9, 10, 12, 8], [13, 14, 11, 15]]",True,,10,41463289,12,3,158.234375,153.25,56136
5,DFS,0.0516963005065918,0.042140000000000004,28327,True,17,"['direita', 'direita', 'baixo', 'esquerda', 'baixo', 'direita', 'cima', 'cima', 'esquerda', 'esquerda', 'esquerda', 'cima', 'direita', 'direita', 'direita', 'baixo', 'baixo', 'baixo']","[[5, 1, 2, 3], [6, 0, 7, 4], [9, 10, 12, 8], [13, 14, 11, 15]]",True,20,10,41463289,12,3,158.25,150.984375,56136
5,A*,0.00013589859008789062,0.000136542,11,True,9,"['esquerda', 'cima', 'direita', 'direita', 'direita', 'baixo', 'baixo', 'esquerda', 'baixo', 'direita']","[[5, 1, 2, 3], [6, 0, 7, 4], [9, 10, 12, 8], [13, 14, 11, 15]]",True,,10,41463289,12,3,158.265625,158.265625,56136

